Title,Link,Detailed Description,What You'll Learn,Requirements,Target Audience,Instructor,Rating,Ratings Count,Duration,Lectures,Level,Current Price,Original Price
Ultimate AWS Certified Solutions Architect Professional 2025,https://www.udemy.com/course/aws-solutions-architect-professional/,Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02,"['PASS the *NEW* AWS Certified Solutions Architect PROFESSIONAL Certification SAP-C02', 'ALL 500+ SLIDES available as downloadable PDF', 'TO THE POINT course to help you ace your exam!', '**SLIDES ONLY**  - no hands-on for this course']","['MUST HAVE - AWS Certified Solutions Architect Associate', 'MUST HAVE - Real Hands-On experience with AWS', 'GOOD TO HAVE - AWS Certified Developer, SysOps & DevOps Professional to gain some hands-on experience']",['Anyone wanting to acquire the knowledge to pass the AWS Certified Solutions Architect Professional Certification'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,"24,126 ratings",16.5 total hours,206 lectures,Expert,"Current price₫339,000","Original Price₫1,949,000"
Learn Advanced Modern JavaScript Programming,https://www.udemy.com/course/learn-advanced-modern-javascript-programming/,Go Beyond the Basics — Become a Professional JavaScript Developer Ready for the Modern Web,"['Learn Deep Understanding of Core JavaScript Concepts', 'Learn Mastering Modern JavaScript (ES6+) Features', 'Learn Working with Asynchronous JavaScript using callbacks, promises, async/await, and handling real-world asynchronous operations', 'Learn Modular and Scalable Code Structure']",['No Such Requirement'],"['Anyone who wants to Learn Deep Understanding of Core JavaScript Concepts', 'Anyone who wants to Learn Mastering Modern JavaScript (ES6+) Features', 'Anyone who wants to Learn Working with Asynchronous JavaScript using callbacks, promises, async/await, and handling real-world asynchronous operations', 'Anyone who wants to Learn Modular and Scalable Code Structure']",Data Science Academy,5.0,5 ratings,29 total hours,110 lectures,Expert,"Current price₫279,000","Original Price₫1,039,000"
SQL Server High Availability and Disaster Recovery (HA/DR),https://www.udemy.com/course/sqlserverhadrdeepdive/,Dive deep into how SQL Server works to implement an effective high availability and disaster recovery solution.,"['By the end of the course, attendees will be able to understand the different SQL Server high availability and disaster recovery technologies - how they work and properly implement the right solution to address recovery objectives and service level agreements']",['Attendees should have a basic understanding of managing and administering SQL Server databases'],"['Senior IT professionals', 'SQL Server administrators', 'Software developers who write applications for SQL Server']",Edwin M Sarmiento,4.5,"1,638 ratings",73 total hours,119 lectures,Expert,"Current price₫389,000","Original Price₫1,519,000"
Ultimate AWS Certified Solutions Architect Professional 2025,https://www.udemy.com/course/aws-solutions-architect-professional/,Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02,"['PASS the *NEW* AWS Certified Solutions Architect PROFESSIONAL Certification SAP-C02', 'ALL 500+ SLIDES available as downloadable PDF', 'TO THE POINT course to help you ace your exam!', '**SLIDES ONLY**  - no hands-on for this course']","['MUST HAVE - AWS Certified Solutions Architect Associate', 'MUST HAVE - Real Hands-On experience with AWS', 'GOOD TO HAVE - AWS Certified Developer, SysOps & DevOps Professional to gain some hands-on experience']",['Anyone wanting to acquire the knowledge to pass the AWS Certified Solutions Architect Professional Certification'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,"24,126 ratings",Unknown duration,Unknown lectures,Unknown level,"Current price₫339,000","Original Price₫1,949,000"
Practice Exam AWS Certified Solutions Architect Professional,https://www.udemy.com/course/practice-exam-aws-certified-solutions-architect-professional/,Prepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!,[],[],['Anyone preparing for the AWS Certified Solutions Architect Professional SAP-C01'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",4.5,"3,606 ratings",Unknown duration,Unknown lectures,Unknown level,"Current price₫419,000","Original Price₫1,809,000"
MongoDB Associate Developer Exam - Practice Tests,https://www.udemy.com/course/certified-mongodb-developer-exam-c100dev-practice-tests/,Master MongoDB Development with Practice Tests - Ace the Associate Developer Exam and Validate Your Expertise!,[],[],"['MongoDB Developers', 'Application Developers', 'Backend Developers', 'Full Stack Developers', 'Database Developers and Engineers', 'Software Engineers Transitioning to NoSQL', 'DevOps and Site Reliability Engineers (SREs)', 'Cloud-Native and Microservices Developers', 'Technical Consultants and Freelancers']",Paweł Krakowiak,4.5,291 ratings,Unknown duration,Unknown lectures,Expert,"Current price₫309,000","Original Price₫1,159,000"
"NodeJs Avançado com Clean Architecture, NestJS e Typescript",https://www.udemy.com/course/nodejs-avancado-com-clean-architecture-nestjs-typescript/,"Projeto prático API Restful Nodejs, NestJS e Typescript, com testes automatizados, DDD, Clean Arch e Design Pattens.","['Criar uma API REST em NodeJs com NestJS e Typescript', 'Aplicar Design Patterns em projetos NodeJs com Typescript', 'Usar recursos avançados do Typescript como Interface e Generics', 'Aplicar Clean Architecture e DDD em uma API criada com NestJS', 'Gerar documentação de API Nodejs com NestJS e Swagger', 'Criar Workflow de CI com Github Actions', 'Deploy em Produção a partir de repositório do Github']","['Conhecimento em Orientação a Objetos', 'Conhecimento em Javascript, Typescript e NodeJs', 'Conhecimento básico do framework NestJs', 'Conhecimento básico de Docker']","['Desenvolvedores backend que desejam implementar APIs Nodejs', 'Desenvolvedores que gostam de aprender com a prática em abordagem direto ao ponto', 'Desenvolvedores que querem aprender a utilizar Clean Architecture na prática', 'Desenvolvedores que querem aprender a aplicar Design Patterns em projetos Nodejs', 'Desenvolvedores que querem aprender sobre arquitetura de software']",Jorge Aluizio Alves de Souza,4.8,396 ratings,26 total hours,209 lectures,Expert,"Current price₫279,000","Original Price₫399,000"
Node  Express With MongoDB [Real-world project]  level3,https://www.udemy.com/course/node-express-with-mongodb-real-world-project-level3/,Node  Express mongoDB to create a Complete Project,"['Learn node express mongoDB', 'Create  full-stack project with database', 'How to Upload Image to database', 'tips and tricks to create projects with node-express']","['JavaScript basics', 'node JS and express basics']","['Javascript developers', 'backend developers', 'full-stack developers']",Ali Hassan Ali Hassan Elrayes,4.7,14 ratings,3.5 total hours,13 lectures,Expert,"Current price₫279,000","Original Price₫399,000"
Practice Exam AWS Certified Solutions Architect Professional,https://www.udemy.com/course/practice-exam-aws-certified-solutions-architect-professional/,Prepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!,[],[],['Anyone preparing for the AWS Certified Solutions Architect Professional SAP-C01'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",4.5,"3,606 ratings",Unknown duration,Unknown lectures,Expert,"Current price₫419,000","Original Price₫1,809,000"
Microservicios con Node.js y GraphQL: La Guía Definitiva,https://www.udemy.com/course/microservicios-nodejs-graphql/,Desarrolla Soluciones Robustas y de Alto Rendimiento para tus Proyectos,"['Arquitectura de Microservicios con Node y GraphQL', 'Comunica efectivamente microservicios usando Docker', 'Técnicas de replicación de microservicios con Kubernetes', 'Desarrolla de manera ágil y efectiva sistemas de alto rendimiento']","['Conocimiento en GraphQL, Nodejs y Docker']",['Desarrolladores Backend que busquen aprender a implementar microservicios'],Yirsis Serrano,4.6,24 ratings,25 total hours,182 lectures,Expert,"Current price₫279,000","Original Price₫399,000"
Practice Exams | AWS Certified Security – Specialty,https://www.udemy.com/course/practice-exams-aws-certified-security-specialty/,Prepare for your SCS-C02 exam. 130 high-quality practice test questions written from scratch with detailed explanations!,[],[],['Anyone preparing for the AWS Certified Security Specialty SCS-C02'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",4.3,877 ratings,Unknown duration,Unknown lectures,Expert,"Current price₫359,000","Original Price₫1,369,000"
Senior Java Developer Quiz — sprawdź się!,https://www.udemy.com/course/senior-java-developer-quiz/,Ocena i doskonalenie umiejętności z zakresu Senior Java Developer.,[],[],['Zaawansowani programiści Java.'],Artur Laskowski,4.6,18 ratings,Unknown duration,Unknown lectures,Expert,"Current price₫299,000","Original Price₫399,000"
Advanced Scala and Functional Programming,https://www.udemy.com/course/advanced-scala/,"For Scala developers: become a top level Scala programmer so you can rock Spark, Akka, Cats or any Scala tool!","['Master the Scala language at the level of the best developers', 'Master functional programming', 'Design and implement complex systems, frameworks and APIs', 'Confidently customize and enhance existing Scala tools', 'Think and approach code with maturity and a deep understanding of implications']","['A good understanding of the Scala and functional programming, at the level of the Rock the JVM Scala beginners course', 'Solid general programming foundations']","['Scala developers who need to design highly complex systems, APIs or frameworks', 'Big data engineers who need to customize Spark code or other tools written in Scala']",Daniel Ciocîrlan,4.7,"3,543 ratings",13 total hours,51 lectures,Expert,"Current price₫699,000","Current price₫699,000"
1Z0-771 Oracle APEX Cloud Developer Professional Practice,https://www.udemy.com/course/1z0-771-oracle-apex-cloud-developer-professional-practice/,1Z0-771 Oracle APEX Cloud Developer Professional Practice Exam,[],[],['Students and professionals'],Vilas Bachhav,0.0,Rating: 0.0 out of 50.0,Unknown duration,Unknown lectures,Expert,"Current price₫279,000","Original Price₫1,709,000"
【한글자막】 AWS Certified Solutions Architect Professional합격 2025,https://www.udemy.com/course/aws-csa-professional/,AWS Certified Solutions Architect Professional 인증 시험에 한번에 합격하실 수 있도록 완벽하게 도와줄 강의!  SAP-C02을 위한 모든 것을 완벽하게 알려드리겠습니다.,"['AWS 공인 솔루션스 아키텍트 프로페셔널 인증 시험 SAP-C02에 합격하세요', '500개가 넘는 슬라이드 PDF 파일을 다운로드하실 수 있습니다', '시험에 합격하실 때까지, 이 강의가 여러분을 책임지겠습니다!', '이 강의 과정에는 실습이 포함되어 있지 않고 **슬라이드**만으로 수업합니다']","['필수 - AWS 공인 솔루션스 아키텍트 어소시에이트 관련 지식', '필수 - AWS 경험', '도움 되는 지식 - AWS 공인 개발자, 시스템 운영 관리자 & 데브옵스 프로페셔널 경험']",['AWS 공인 솔루션스 아키텍트 프로페셔널 인증 시험 합격을 위한 지식을 원하는 모든 분'],"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, 웅진씽크빅 글로벌",4.7,228 ratings,16.5 total hours,204 lectures,Expert,"Current price₫299,000","Original Price₫399,000"
1Z0-149: Oracle Advanced PL/SQL Certification Preparation,https://www.udemy.com/course/1z0-149-oracle-advanced-plsql-certification-preparation/,Oracle 1Z0-149 Database PL/SQL Certification Exam with 600+ Verified Questions Certification Practice Tests PL/SQL,[],,"['Database Professionals: Individuals who are already working in database management or administration looking to enhance their PL/SQL skills and knowledge, especially those who want to specialize in Oracle databases.', 'Aspiring Database Developers: Students or entry-level professionals aspiring to build a career in database development, particularly in environments using Oracle databases.', 'SQL Developers Seeking Advancement: SQL developers seeking to advance their career by acquiring specialized skills in PL/SQL and gaining an Oracle certification.', 'IT Professionals Transitioning to Database Roles: IT professionals looking to transition into database roles or expand their current IT skill set to include advanced database programming and management.', 'Certification Seekers: Individuals aiming to obtain the Oracle 1Z0-149 certification as a means to validate their advanced PL/SQL skills and knowledge to potential employers.']","Ana Uzelac PhD, Stefan Petković MSc",4.7,23 ratings,Unknown duration,Unknown lectures,Expert,"Current price₫309,000","Original Price₫409,000"
Becoming a Quantitative Developer in the 2025,https://www.udemy.com/course/becoming-a-quantitative-developer-in-the-2025/,"Master Python, Algorithmic Trading, Machine Learning & DeFi for modern quantitative finance.","['Understand the core concepts of quantitative finance, algorithms, and data-driven trading systems.', 'Learn to design, test, and implement quantitative trading strategies using Python and financial APIs.', 'Analyze financial data, model risk, and apply machine learning techniques in fintech applications.', 'Build a complete quantitative development project simulating a real-world trading or fintech solution.', 'Master advanced NumPy operations for financial computations.', 'Use Pandas for cleaning, analyzing, and transforming financial datasets.', 'Apply DataFrame techniques for time series analysis.', 'Handle missing and irregular financial data efficiently.', 'Implement memory-efficient storage using PyArrow.', 'Use Feather format for fast data I/O.', 'Understand Python type hinting for cleaner, more maintainable code.', 'Apply static analysis tools (e.g., mypy) for robust software.', 'Write unit tests with pytest for financial functions.', 'Perform integration testing on complex data pipelines.', 'Debug and troubleshoot Python code for quantitative tasks.', 'Optimize Python code for speed and scalability.', 'Financial Modeling and Algorithmic Trading Fundamentals', 'Understand the Black-Scholes model for option pricing.', 'Implement alternative options pricing models.', 'Conduct Monte Carlo simulations for risk assessment.', 'Forecast financial time series using ARIMA models.', 'Model volatility with GARCH techniques.', 'Backtest trading strategies using vectorized Pandas methods.', 'Evaluate statistical arbitrage strategies.', 'Design and implement basic algorithmic trading strategies.', 'Apply machine learning for predictive trading models.', 'Analyze strategy performance using quantitative metrics', 'Identify profitable patterns in historical financial data.', 'Integrate multiple financial instruments into a trading model.', 'High-Performance Computing and Infrastructure', 'Understand concurrency vs parallelism in Python', 'Use asyncio for I/O-bound tasks in financial applications.', 'Implement multiprocessing for CPU-intensive calculations.', 'Optimize numerical code using Numba JIT compilation.', 'Deploy Python applications on cloud platforms (AWS, Azure, GCP).', 'Containerize trading systems using Docker.', 'Monitor system performance and resource utilization.', 'Scale applications for high-frequency trading environments.', 'Apply best practices for cloud cost optimization.', 'Data Engineering for Financial Markets', 'Integrate real-time market data from Bloomberg or Refinitiv.', 'Build streaming data pipelines with Apache Kafka.', 'Store large-scale financial datasets in Snowflake or BigQuery.', 'Perform feature engineering for machine learning models.', 'Visualize financial data using Plotly and Dash.', 'Create interactive dashboards for trading insights.', 'Implement data validation and error handling in pipelines.', 'Ensure data security and compliance with financial regulations.', 'Handle high-frequency data efficiently.', 'Machine Learning in Finance — Advanced Techniques', 'Apply regression models for price prediction.', 'Use classification models to predict market events.', 'Perform clustering for anomaly detection.', 'Reduce dimensionality using PCA or t-SNE.', 'Implement reinforcement learning for trading strategies.', 'Conduct sentiment analysis of financial news using NLP.', 'Validate machine learning models with proper metrics.', 'Avoid overfitting and address bias in financial models.', 'Compare model performance to select the best approach.', 'Deploy ML models in live trading environments.', 'Blockchain and Decentralized Finance (DeFi)', 'Understand blockchain fundamentals and cryptocurrency mechanisms.', 'Develop smart contracts using Solidity.', 'Interact with DeFi protocols (lending, borrowing, AMMs).', 'Quantitatively analyze cryptoassets.', 'Apply risk management principles to DeFi investments.', 'Comprehend the regulatory landscape of blockchain and crypto.']","['Basic understanding of mathematics and statistics is helpful but not required.', 'Familiarity with Python programming is recommended for coding exercises.', 'Access to a computer with internet connection to install Python and related libraries.', 'A curiosity about finance, algorithms, and technology — no prior trading experience needed.']","['Aspiring Quant Developers who want to master Python, financial modeling, and algorithmic trading.', 'Financial Analysts and Engineers seeking to advance their careers by building automated trading systems and predictive models.', 'Python Developers looking to transition into finance and apply programming skills to real-world financial problems.', 'Data Scientists who want to specialize in quantitative finance, machine learning, and time series forecasting.', 'Fintech Professionals and Traders aiming to gain expertise in high-performance computing, data engineering, and blockchain applications.', 'Students and Professionals interested in learning how to deploy production-ready trading systems, integrate real-time data, and apply advanced analytics to financial markets.']",Golam Rabbi,5.0,1 rating,5.5 total hours,7 lectures,Expert,"Current price₫279,000","Original Price₫549,000"
De Cero a Experto en Node.js y TypeScript con TDD – 2025,https://www.udemy.com/course/programador-autodidacta-nodejs-typescript-tdd-clean-code/,"Node.js, TypeScript, TDD, Clean Code, Clean Architecture, Solid, MongoDB","['Aplicar TDD correctamente basado al libro Clean Code / Buenas Prácticas', 'Aprenderán a implementar una arquitectura sólida', 'Use Design Patterns de la manera correcta', 'Cree una API REST completa en NodeJs con Typescript', 'Husky hooks', 'Implementación del Patrón Repositorio', 'Pruebas unitarias', 'Usa TypeScript correctamente', 'Crearemos una API de inicio de sesión con todas las pruebas unitarias.', 'Jest', 'AWS Simple Notification Service - Simple Email Service ( envios de mensajes de textos y correo eletronico)', 'Deploy Heroku', 'Husky con eslint', 'Async / Await', 'Push notifications', 'Rest Full Service API', 'Git', 'Standard-JavaScript']","['Necesita saber un poquito de Nodejs', 'Conocer JavaScript ES6+', 'Nociones de Node JS']","['Programadores full stack developer', 'Programadores Nodejs']",Geovane Da,4.4,201 ratings,12.5 total hours,33 lectures,Expert,"Current price₫349,000","Original Price₫469,000"
